qid,query
1,Winter training shoes 
2,Trail running shoes 
3,Some good racing shoes for 5k or 10k
4,Shoes that can save your knees
5,Most popular running shoe now 
6,I need a pair of carbon plated shoes 
7,Brooks trainers 
8,Adidas boost running shoes 
9,Shoes that have wider toe box 
10,I want a shoe that is durable and lasts long 
11,Special edition running shoes 
12,Jordan brand shoes that are good to play in 
13,Cheap running shoes
14,Blue or yellow running shoes
15,Some running shoes for speedwork 
16,Good racing shoes for marathon distance 
17,Running shoe with a lot of cushion 
18,Good running shoes for flat feet 
19,Basketball shoe with good traction 
20,Kobe signature shoes 